client,rating
5-28863,58.0
8-66753,100.0
5-78186,81.5
5-01815,52.0
6-33721,69.0
7-34296,37.0
2-10067,80.5
6-28309,80.5
7-17459,97.5
7-06828,58.0
2-73206,97.5
7-35233,66.5
4-99164,-32.0
6-83564,62.0
1-88233,97.5
2-97169,97.5
3-26166,69.0
9-86665,-78.0
3-80679,94.5
9-28306,39.0
8-25049,84.0
4-75366,56.5
6-97174,65.0
7-10417,65.0
1-03256,69.0
2-62357,-131.5
3-57491,-0.5
4-95569,96.5
8-36012,65.0
6-87614,19.0
4-74829,-5.5
2-85489,80.5
8-80992,97.5
9-14832,38.0
2-68359,-112.5
8-37474,69.0
1-33088,75.0
7-00103,43.0
7-62996,59.0
5-43109,74.0
7-28057,75.0
5-35106,58.0
2-88869,52.0
5-94952,-32.5
3-64139,83.0
9-74266,-116.5
2-59342,66.0
2-34029,95.5
4-68330,-23.0
8-45886,96.5
1-41538,97.5
4-82976,40.0
8-35925,-17.0
1-79841,69.0
5-94991,31.5
7-29549,-64.5
9-05353,11.0
5-84149,58.0
5-94783,27.0
9-14521,99.0
7-36253,22.0
7-56714,-53.5
4-92180,50.0
5-87156,-14.0
6-91174,-100.5
9-63975,97.0
6-92184,96.5
8-68970,38.0
1-68903,99.0
3-12409,53.0
4-77447,-68.0
9-87718,75.0
4-87947,37.0
8-52426,-19.0
6-83508,97.5
4-61389,84.0
3-40852,-35.0
5-09207,70.0
1-53868,99.0
7-43625,-56.0
9-03312,18.5
5-50763,-3.0
5-35342,11.0
9-74887,63.0
9-25948,100.0
3-02835,99.0
9-73743,-84.5
1-16118,97.0
8-96767,59.5
4-86575,100.0
1-85434,97.0
8-39016,27.5
5-51432,-46.0
8-47779,60.5
6-03232,42.0
1-68771,-40.5
3-29330,99.0
1-11220,-67.0
6-81696,17.5
8-32328,75.0
1-82241,74.0
7-75249,99.0
3-55567,-64.0
8-02342,66.5
9-89157,-62.5
3-57173,31.5
1-41828,-52.5
1-05158,100.0
5-13686,100.0
3-91409,75.0
7-67378,60.5
8-14412,75.0
6-51928,59.5
6-88583,-49.5
8-38824,66.5
6-18438,-26.0
5-71932,42.0
8-30894,75.0
3-06583,21.5
4-02583,-23.5
3-19239,42.0
6-01177,65.5
9-79862,70.0
9-42328,75.0
8-70209,97.0
9-51332,42.0
3-91674,97.0
6-77805,-58.5
5-22817,-106.5
1-77868,71.0
6-34893,74.0
6-24353,14.0
7-79101,83.0
6-68782,84.0
2-13670,-2.0
5-65910,-14.5
6-89945,38.5
5-85314,75.0
5-92385,-55.5
4-21157,-7.5
9-93344,75.0
2-58092,99.0
2-48467,63.5
7-55460,5.5
9-78597,-1.0
5-39482,-12.0
6-25033,22.5
2-71445,74.0
8-29848,83.0
4-06315,57.5
4-41576,21.5
6-50516,-19.0
8-13821,99.0
5-35801,71.0
2-02340,36.0
1-90044,66.5
2-69925,71.0
8-26345,70.0
6-32571,-4.0
6-82714,66.5
7-75439,75.0
9-34793,42.0
1-20229,18.5
4-67466,-24.5
2-46474,15.5
6-20438,-82.5
1-69387,75.0
1-27984,99.0
4-23886,99.0
6-81609,99.0
6-61097,81.5
3-21187,14.5
6-34375,50.0
7-64919,-11.5
5-80414,63.5
1-10908,74.0
1-45233,-3.0
6-99585,24.5
6-56314,84.0
4-76550,-60.0
1-42919,74.0
1-68367,-8.5
4-88280,-10.5
2-58802,59.5
2-12730,100.0
2-36113,66.5
5-91036,99.0
6-33055,74.0
7-69132,-66.0
7-77016,-61.5
1-58134,65.0
9-01359,69.0
1-66408,74.0
4-65986,59.5
1-39305,75.0
5-65542,100.0
7-49726,96.5
6-16836,58.0
5-83445,75.0
1-27581,-4.0
1-51737,19.5
8-25961,66.0
1-57206,66.0
2-27036,-78.5
9-13055,69.0
9-20463,-115.5
9-72467,-13.5
7-02259,10.0
4-16797,74.0
3-30041,69.0
5-82169,-42.5
1-41288,53.0
1-89086,37.0
1-54719,14.0
4-98291,70.0
6-19054,-68.0
5-81041,-29.0
4-45064,55.0
7-76939,69.0
6-27605,69.0
9-67241,59.0
6-58819,-28.5
5-83225,80.5
8-40051,56.0
5-93066,-25.0
7-40908,-11.0
9-72345,38.0
4-40942,59.0
6-89281,96.5
6-55911,69.0
2-05337,-3.0
8-52608,69.0
9-82235,97.5
7-54027,-72.5
6-76158,95.5
2-21062,11.0
4-86703,59.0
8-64783,97.5
7-48149,14.0
4-15636,37.0
6-51114,65.0
4-86506,94.5
3-46111,58.0
1-60081,70.0
1-44178,-27.0
9-80420,70.0
7-58505,53.0
1-78470,94.5
6-63523,70.5
7-28061,74.0
9-38992,98.0
5-26826,-57.5
3-87801,21.5
6-13047,14.0
7-13314,97.0
4-81267,29.0
4-96491,69.0
7-09831,28.5
4-28795,99.0
9-97282,70.0
8-07063,71.0
8-08375,99.0
8-20269,60.5
1-00931,15.5
2-99828,66.5
9-69346,10.0
6-59730,39.5
7-56242,-66.5
6-67203,99.0
6-08703,74.0
8-93952,59.5
9-30537,71.0
4-55578,69.5
6-10951,66.5
1-48894,66.5
3-49414,98.0
6-87294,21.5
2-11539,99.0
1-58705,14.5
9-51871,66.5
6-24005,17.5
2-50192,15.0
2-37567,65.5
4-30441,70.0
3-26527,-63.0
9-97050,69.5
7-75656,-20.0
1-50915,59.5
4-80224,-30.0
7-68177,75.0
9-01788,69.5
9-59170,22.5
5-56179,74.0
6-78140,84.0
1-28585,65.5
6-25891,97.0
8-99197,98.0
3-52643,-44.0
6-95542,99.0
9-30889,74.0
7-44044,74.0
3-43272,70.5
4-87344,74.0
1-73308,84.0
9-51280,65.5
4-54990,-29.5
5-83268,44.0
2-85641,99.0
1-24477,-11.0
2-85146,28.0
8-99588,75.0
2-45565,-45.5
9-12238,99.0
3-41035,43.0
7-81786,34.5
3-85029,-18.0
9-81150,37.5
9-82201,22.5
5-95334,60.5
7-45539,65.5
6-36630,59.5
6-70786,-67.5
6-05616,97.0
9-78468,35.5
2-59712,34.5
2-71333,74.0
6-46854,17.5
2-03467,99.0
5-56521,74.0
9-05276,-34.5
1-06206,75.0
4-33946,100.0
8-39369,65.5
1-41026,-29.0
4-63869,75.0
7-24910,40.0
3-26957,75.0
3-19928,71.0
8-06735,15.5
7-64578,59.5
7-62668,99.0
8-85933,71.0
1-40326,43.0
3-46663,18.5
7-32090,98.0
6-19207,17.5
4-01365,1.0
4-17837,-65.5
7-89920,70.0
3-10372,-15.0
4-83121,100.0
5-28200,-57.5
6-76151,-16.0
9-31373,-7.5
6-12716,100.0
7-35200,98.0
7-54448,66.5
1-08398,-46.0
6-73290,-9.5
6-36016,-45.0
5-85174,4.0
1-93799,22.0
3-87065,100.0
5-35112,83.0
2-65598,22.5
3-76707,-13.0
3-84037,-11.5
8-05383,74.0
4-01009,-35.5
6-12886,-50.0
1-18212,66.5
6-93830,39.0
1-99031,65.0
4-24211,37.0
3-03528,17.5
2-86645,66.5
8-38443,11.0
1-64665,-29.0
5-64024,10.5
4-38117,22.0
8-18981,-8.0
3-80925,65.5
6-90741,62.0
5-58491,63.5
4-32256,65.0
8-96385,70.0
1-28126,70.5
2-72705,80.5
9-40773,2.0
9-38276,62.0
9-44685,-25.0
4-19575,59.5
6-74419,65.5
9-45493,29.0
7-46568,-41.0
1-42802,-25.0
8-58847,10.0
3-72486,66.0
1-57039,-24.5
2-92422,58.0
1-22774,66.5
6-26015,14.0
7-93193,55.5
5-68134,63.0
1-19465,69.0
8-07513,97.0
1-43958,83.0
5-01655,58.0
6-65642,-68.0
5-19499,-106.0
1-77891,69.0
9-93477,-51.0
2-73362,11.0
8-83081,37.0
4-93685,5.0
3-70305,99.0
1-61533,98.0
1-00813,80.5
3-70007,84.0
3-29897,96.5
9-63457,100.0
9-28604,71.0
1-44865,52.0
7-94707,-35.0
7-55426,-15.5
8-17734,-83.5
9-63851,6.0
9-17863,-48.0
8-71802,69.5
7-24438,70.0
3-26793,81.5
9-81785,96.5
4-30205,60.5
1-05688,70.0
1-70369,96.5
3-29529,-14.0
3-78706,58.0
1-82568,11.0
7-80065,53.0
8-85288,74.0
6-85935,-25.0
1-93806,43.0
2-76580,70.0
8-85893,69.0
3-39460,-35.5
7-74357,-119.0
1-49195,37.0
9-15857,21.5
4-32684,96.5
9-63941,69.0
9-38266,96.5
3-67433,-8.5
1-37503,96.5
9-74746,-35.5
9-51277,83.0
9-15203,75.0
8-36632,65.0
9-84459,100.0
2-28639,70.0
7-34254,50.0
9-90235,43.0
5-50445,71.0
9-02533,60.5
7-82361,65.5
7-58807,-9.0
9-90486,71.0
7-14090,15.5
3-53677,17.5
8-20699,-46.0
2-20765,99.0
4-93781,-10.5
9-38093,75.0
4-80076,42.0
5-94745,-7.0
9-30788,63.5
2-21157,70.0
7-48293,62.5
4-81248,-19.0
8-96035,83.0
2-28856,24.0
2-12311,21.5
5-22903,62.0
8-69984,83.0
5-52489,42.0
3-29148,65.5
3-74055,74.0
2-94633,74.0
6-14504,74.0
9-43018,42.0
2-44248,66.5
9-36748,99.0
7-88536,5.0
6-15632,-2.0
9-82108,65.5
6-59335,18.5
9-65597,-52.0
6-54546,31.0
5-50199,70.0
8-33688,-81.5
6-62361,74.0
6-13095,42.0
1-75192,60.5
2-38264,-72.5
8-70785,56.5
5-02518,6.0
5-21847,70.0
8-61011,98.0
8-60705,18.5
1-01632,8.0
1-55354,42.0
4-73829,97.0
8-19801,99.0
5-02648,24.0
3-92738,-10.5
6-10186,42.0
9-98838,-37.5
6-89244,35.5
3-38396,-10.5
2-23708,70.5
8-85000,35.0
1-33001,43.0
3-46664,83.0
1-71076,74.0
6-95750,-13.0
6-72586,-25.5
3-99150,11.0
1-32102,100.0
2-55463,99.0
9-64371,70.0
6-57665,4.0
3-37550,74.0
2-07754,84.0
6-11516,-23.0
4-61151,42.0
5-10506,22.5
5-34960,21.0
1-86888,60.5
6-13239,-6.5
7-10882,-9.0
1-24118,-9.0
6-15946,5.5
